tweet,emotion,product_filled,cleaned_tweets
".@wesley83 i have a 3g iphone. after 3 hrs tweeting at #rise_austin, it was dead! i need to upgrade. plugin stations at #sxsw.",negative,iphone,3g iphone 3 hrs tweeting rise_austin dead need upgrade plugin stations sxsw
"@jessedee know about @fludapp ? awesome ipad/iphone app that you'll likely appreciate for its design. also, they're giving free ts at #sxsw",positive,ipad or iphone app,know awesome ipadiphone app youll likely appreciate design also theyre giving free ts sxsw
@swonderlin can not wait for #ipad 2 also. they should sale them down at #sxsw.,positive,ipad,wait ipad 2 also sale sxsw
@sxsw i hope this year's festival isn't as crashy as this year's iphone app. #sxsw,negative,ipad or iphone app,hope years festival isnt crashy years iphone app sxsw
"@sxtxstate great stuff on fri #sxsw: marissa mayer (google), tim o'reilly (tech books/conferences) &amp; matt mullenweg (wordpress)",positive,google,great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress
@teachntech00 new ipad apps for #speechtherapy and communication are showcased at the #sxsw conference http://ht.ly/49n4m #iear #edchat #asd,neutral,ipad,new ipad apps speechtherapy communication showcased sxsw conference iear edchat asd
"#sxsw is just starting, #ctia is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",positive,android,sxsw starting ctia around corner googleio hop skip jump good time android fan
beautifully smart and simple idea rt @madebymany @thenextweb wrote about our #hollergram ipad app for #sxsw! http://bit.ly/ieavob,positive,ipad or iphone app,beautifully smart simple idea rt wrote hollergram ipad app sxsw
counting down the days to #sxsw plus strong canadian dollar means stock up on apple gear,positive,apple,counting days sxsw plus strong canadian dollar means stock apple gear
excited to meet the @samsungmobileus at #sxsw so i can show them my sprint galaxy s still running android 2.1. #fail,positive,android,excited meet sxsw show sprint galaxy still running android 21 fail
find &amp; start impromptu parties at #sxsw with @hurricaneparty http://bit.ly/gvlrin i can't wait til the android app comes out.,positive,android app,find amp start impromptu parties sxsw cant wait til android app comes
"foursquare ups the game, just in time for #sxsw http://j.mp/grn7pk) - still prefer @gowalla by far, best looking android app to date.",positive,android app,foursquare ups game time sxsw still prefer far best looking android app date
gotta love this #sxsw google calendar featuring top parties/ show cases to check out. rt @hamsandwich via @ischafer =&gt;http://bit.ly/axzwxb,positive,other google product or service,got ta love sxsw google calendar featuring top parties show cases check rt via gt
great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,positive,ipad or iphone app,great sxsw ipad app
"haha, awesomely rad ipad app by @madebymany http://bit.ly/htdfim #hollergram #sxsw",positive,ipad or iphone app,haha awesomely rad ipad app hollergram sxsw
holler gram for ipad on the itunes app store - http://t.co/kfn3f5q (via @marc_is_ken) #sxsw,neutral,ipad,holler gram ipad itunes app store via sxsw
i just noticed dst is coming this weekend. how many iphone users will be an hour late at sxsw come sunday morning? #sxsw #iphone,negative,iphone,noticed dst coming weekend many iphone users hour late sxsw come sunday morning sxsw iphone
"just added my #sxsw flights to @planely. matching people on planes/airports. also downloaded the @klm iphone app, nicely done.",positive,ipad or iphone app,added sxsw flights matching people planesairports also downloaded iphone app nicely done
must have #sxsw app! rt @malbonster: lovely review from forbes for our sxsw ipad app holler gram - http://t.co/g4gzypv,positive,ipad or iphone app,must sxsw app rt lovely review forbes sxsw ipad app holler gram
need to buy an ipad2 while i'm in austin at #sxsw. not sure if i'll need to q up at an austin apple store?,positive,ipad,need buy ipad2 im austin sxsw sure ill need q austin apple store
"oh. my. god. the #sxsw app for ipad is pure, unadulterated awesome. it's easier to browse events on ipad than on the website!!!",positive,ipad or iphone app,oh god sxsw app ipad pure unadulterated awesome easier browse events ipad website
"okay, this is really it: yay new @foursquare for #android app!!!!11 kthxbai. #sxsw",positive,android app,okay really yay new android app11 kthxbai sxsw
"photo: just installed the #sxsw iphone app, which is really nice! http://tumblr.com/x6t1pi6av7",positive,ipad or iphone app,photo installed sxsw iphone app really nice
really enjoying the changes in gowalla 3.0 for android! looking forward to seeing what else they &amp; foursquare have up their sleeves at #sxsw,positive,android app,really enjoying changes gowalla 30 android looking forward seeing else amp foursquare sleeves sxsw
"rt @laurieshook: i'm looking forward to the #smcdallas pre #sxsw party wed., and hoping i'll win an #ipad resulting from my shameless promotion. #chevysmc",positive,ipad,rt im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc
"rt haha, awesomely rad ipad app by @madebymany http://bit.ly/htdfim #hollergram #sxsw (via @michaelpiliero)",positive,ipad or iphone app,rt haha awesomely rad ipad app hollergram sxsw via
"someone started an #austin @partnerhub group in google groups, pre-#sxsw. great idea",positive,other google product or service,someone started austin group google groups presxsw great idea
the new #4sq3 looks like it is going to rock. update for iphone and android should push tonight http://bit.ly/etsbzk #sxsw #keepaustinweird,positive,ipad or iphone app,new 4sq3 looks like going rock update iphone android push tonight sxsw keepaustinweird
"they were right, the @gowalla 3 app on #android is sweeeeet! nice job by the team there. #sxsw",positive,android app,right 3 app android sweeeeet nice job team sxsw
very smart from @madebymany #hollergram ipad app for #sxsw! http://t.co/a3xvwc6 (may leave my vuvuzela at home now),positive,ipad or iphone app,smart hollergram ipad app sxsw may leave vuvuzela home
you must have this app for your ipad if you are going to #sxsw http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,positive,ipad or iphone app,must app ipad going sxsw hollergram
"attn: all #sxsw frineds, @mention register for #gdgtlive and see cobra iradar for android. {link}",neutral,android,attn sxsw frineds register gdgtlive see cobra iradar android link
anyone at #sxsw want to sell their old ipad?,neutral,ipad,anyone sxsw want sell old ipad
anyone at #sxsw who bought the new ipad want to sell their older ipad to me?,neutral,ipad,anyone sxsw bought new ipad want sell older ipad
"at #sxsw. oooh. rt @mention google to launch major new social network called circles, possibly today {link}",neutral,google,sxsw oooh rt google launch major new social network called circles possibly today link
the best! rt @mention ha! first in line for #ipad2 at #sxsw &quot;pop-up&quot; apple store was an event planner #eventprofs #pcma #engage365,positive,ipad,best rt ha first line ipad2 sxsw quotpopupquot apple store event planner eventprofs pcma engage365
spin play - a new concept in music discovery for your ipad from @mention &amp; spin.com {link} #itunes #sxsw @mention,neutral,ipad,spin play new concept music discovery ipad amp spincom link itunes sxsw
@mention - false alarm: google circles not coming nowûòand probably not ever? - {link} #google #circles #social #sxsw,negative,google,false alarm google circles coming nowûòand probably ever link google circles social sxsw
vatornews - google and apple force print media to evolve? {link} #sxsw,neutral,google,vatornews google apple force print media evolve link sxsw
@mention - great weather to greet you for #sxsw! still need a sweater at night..apple putting up &quot;flash store&quot; downtown to sell ipad2,positive,apple,great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad2
"hootsuite - hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android: whether youûªre getting friend... {link}",neutral,iphone,hootsuite hootsuite mobile sxsw updates iphone blackberry amp android whether youûªre getting friend link
hey #sxsw - how long do you think it takes us to make an iphone case? answer @mention using #zazzlesxsw and weûªll make you one!,neutral,iphone,hey sxsw long think takes us make iphone case answer using zazzlesxsw weûªll make one
mashable! - the ipad 2 takes over sxsw [video] #ipad #sxsw #gadgets {link},neutral,ipad,mashable ipad 2 takes sxsw video ipad sxsw gadgets link
for i-pad ?rt @mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by ... {link},neutral,iphone,ipad rt new ubersocial iphone app store includes uberguide sxsw sponsored link
#ipad2 's û÷#smartcoverûª opens to instant access - i should have waited to get one! - {link} #apple #sxsw,positive,ipad or iphone app,ipad2 ûsmartcoverûª opens instant access waited get one link apple sxsw
hand-held û÷hoboûª: drafthouse launches û÷hobo with a shotgunûª iphone app #sxsw {link},positive,iphone,handheld ûhoboûª drafthouse launches ûhobo shotgunûª iphone app sxsw link
hooray rt ûï@mention apple is opening a pop-up store in austin for #sxsw | @mention {link},positive,apple,hooray rt ûï apple opening popup store austin sxsw link
orly....? ûï@mention google set to launch new social network #circles today at #sxswû,neutral,google,orly ûï google set launch new social network circles today sxswû
wooooo!!! ûï@mention apple store downtown austin open til midnight. #sxswû,positive,apple,wooooo ûï apple store downtown austin open til midnight sxswû
khoi vinh (@mention says conde nast's headlong rush into ipad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,neutral,ipad,khoi vinh says conde nasts headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw
"ûï@mention {link} &lt;-- help me forward this doc to all anonymous accounts, techies,&amp; ppl who can help us jam #libya #sxsw",neutral,none,ûï link lt help forward doc anonymous accounts techiesamp ppl help us jam libya sxsw
÷¼ what? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter,neutral,none,¼ _ link ã_ edchat musedchat sxsw sxswi classical newtwitter
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",neutral,none,locationbased fast fun future link via sxsw
ûï@mention @mention #google will connect the digital &amp; physical worlds through mobile - {link} #sxswû @mention,neutral,google,ûï google connect digital amp physical worlds mobile link sxswû
ûï@mention @mention talking about {link} - google's effort to allow users to have open systems #bettercloud #sxswû,positive,google,ûï talking link googles effort allow users open systems bettercloud sxswû
"{link} rt @mention &quot;google before you tweet&quot; is the new &quot;think before you speak.&quot; - mark belinsky, #911tweets panel at #sxsw.",neutral,google,link rt quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw
{link} rt @mention 1st stop on the #sxsw #chaos &amp; @mention hunt: austin java. get in the spy game 4 a chance 2 win an ipad!,positive,ipad,link rt 1st stop sxsw chaos amp hunt austin java get spy game 4 chance 2 win ipad
{link} rt @mention those at #sxsw check out the holler gram ipad app from @mention {link},neutral,ipad,link rt sxsw check holler gram ipad app link
@mention @mention &amp; @mention having fun at #google [pic] #sxsw {link},neutral,google,amp fun google pic sxsw link
&quot;via @mention : {link} guy kawasaki talks 'enchanted' at sxsw - he knows his stuff! #books #internet #apple #sxsw &quot;,neutral,apple,quotvia link guy kawasaki talks enchanted sxsw knows stuff books internet apple sxsw quot
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link} #sxsw",neutral,google,futuremf link spec recipes web google search link sxsw
#omfg! rt @mention heard about apple's pop-up store in downtown austin? pics are already on gowalla: {link} #sxsw #ipad2,positive,apple,omfg rt heard apples popup store downtown austin pics already gowalla link sxsw ipad2
"#smile rt @mention i think apple's &quot;pop-up store&quot; in austin would be a lot more interesting if it actually, you know... popped up #sxsw",neutral,apple,smile rt think apples quotpopup storequot austin would lot interesting actually know popped sxsw
again? rt @mention line at the apple store is insane.. #sxsw,negative,apple,rt line apple store insane sxsw
agree. rt @mention wait. fiona apple is in town??? somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,neutral,apple,agree rt wait fiona apple town somebody kidnap put recording studio records new album sxsw
at #sxsw? @mention / @mention wanna buy you a drink. 7pm at fado on 4th. {link} join us!,neutral,none,sxsw wan na buy drink 7pm fado 4th link join us
attending @mention ipad design headaches #sxsw {link},negative,ipad,attending ipad design headaches sxsw link
"boooo! rt @mention flipboard is developing an iphone version, not android, says @mention #sxsw",negative,iphone,boooo rt flipboard developing iphone version android says sxsw
check out @mention @mention &amp; @mention in line for their ipad 2 in austin. power to them! #sxswi #sxsw {link},positive,ipad,check amp line ipad 2 austin power sxswi sxsw link
check! rt @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,neutral,google,check rt giving added value location based services needs battle checkin fatigue google pnid sxsw
chilcott: @mention #sxsw stand talking with blogger staff. too late to win competition for best tweet mentioning @mention so no t-shirt.,neutral,none,chilcott sxsw stand talking blogger staff late win competition best tweet mentioning tshirt
"do it. rt @mention come party w/ google tonight at #sxsw! {link} - bands, food, art, ice cream, nifty interactive maps!",positive,google,rt come party w google tonight sxsw link bands food art ice cream nifty interactive maps
gowalla's @mention promises to launch foursquare check-in + groupon rewards-type service at #sxsw. finger's crossed. {link},neutral,none,gowallas promises launch foursquare checkin groupon rewardstype service sxsw fingers crossed link
"ha.ha. rt @mention #sxsw news: yahoo.com is loosing search traffic to new site, google.com. doubt it will last tho w/ that weird name.",neutral,google,haha rt sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name
holla! rt @mention at google party. best ever! get your butt over here. #sxsw,positive,google,holla rt google party best ever get butt sxsw
i love my @mention iphone case from #sxsw but i can't get my phone out of it #fail,positive,iphone,love iphone case sxsw cant get phone fail
i worship @mention {link} #sxsw,neutral,none,worship link sxsw
"ipad2? rt @mention droid &amp; mac here :) rt @mention my #agnerd confession, using laptop, ipad &amp; blackberry to follow #sxsw",neutral,ipad,ipad2 rt droid amp mac rt agnerd confession using laptop ipad amp blackberry follow sxsw
"launching @mention #sxsw? rt @mention @mention denies social network called circles will debut today, despite report {link}",neutral,none,launching sxsw rt denies social network called circles debut today despite report link
new post: @mention iphone app makes it easy to connect on all social networks with people you meet {link} #sxsw,positive,ipad or iphone app,new post iphone app makes easy connect social networks people meet link sxsw
nice that @mention iphone app is behaving today. crashes yesterday were ridiculous. #sxsw,positive,ipad or iphone app,nice iphone app behaving today crashes yesterday ridiculous sxsw
nice! rt @mention apple opening popup store for ipad launch in downtown austin during #sxsw {link} via @mention,neutral,ipad,nice rt apple opening popup store ipad launch downtown austin sxsw link via
"nice!! rt @mention hey, apple fans! get a peek at the space that's slated to be a pop-up #sxsw apple store tomorrow: {link}",positive,apple,nice rt hey apple fans get peek space thats slated popup sxsw apple store tomorrow link
